method,condition,game,seed,agent_actions,frames,episode_index,episode_score,episode_hns
DreamerV3,official_size12m,Alien,1,14221,56884,23,180.0,-0.6927636632414964
DreamerV3,official_size12m,Alien,1,14944,59776,24,200.0,-0.40290438991869465
DreamerV3,official_size12m,Alien,1,15495,61980,25,320.0,1.336251250018116
DreamerV3,official_size12m,Alien,1,16111,64444,26,300.0,1.0463919766953143
DreamerV3,official_size12m,Alien,1,16663,66652,27,270.0,0.6116030667111116
DreamerV3,official_size12m,Alien,1,17182,68728,28,240.0,0.17681415672690892
DreamerV3,official_size12m,Alien,1,17650,70600,29,250.0,0.3217437933883099
DreamerV3,official_size12m,Alien,1,18141,72564,30,320.0,1.336251250018116
DreamerV3,official_size12m,Alien,1,18625,74500,31,180.0,-0.6927636632414964
DreamerV3,official_size12m,Alien,1,19176,76704,32,420.0,2.785547616632125
DreamerV3,official_size12m,Alien,1,19728,78912,33,440.0,3.075406889954927
DreamerV3,official_size12m,Alien,1,20303,81212,34,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,1,20768,83072,35,310.0,1.191321613356715
DreamerV3,official_size12m,Alien,1,21497,85988,36,350.0,1.7710401600023187
DreamerV3,official_size12m,Alien,1,21819,87276,37,160.0,-0.9826229365642982
DreamerV3,official_size12m,Alien,1,22222,88888,38,260.0,0.46667343004971074
DreamerV3,official_size12m,Alien,1,22696,90784,39,350.0,1.7710401600023187
DreamerV3,official_size12m,Alien,1,23270,93080,40,430.0,2.930477253293526
DreamerV3,official_size12m,Alien,1,23603,94412,41,250.0,0.3217437933883099
DreamerV3,official_size12m,Alien,1,24250,97000,42,380.0,2.2058290699865215
DreamerV3,official_size12m,Alien,1,24697,98788,43,340.0,1.6261105233409179
DreamerV3,official_size12m,Alien,1,25200,100800,44,400.0,2.4956883433093235
DreamerV3,official_size12m,Alien,1,25638,102552,45,380.0,2.2058290699865215
DreamerV3,official_size12m,Alien,1,26110,104440,46,350.0,1.7710401600023187
DreamerV3,official_size12m,Alien,1,26623,106492,47,350.0,1.7710401600023187
DreamerV3,official_size12m,Alien,1,27150,108600,48,330.0,1.4811808866795169
DreamerV3,official_size12m,Alien,1,27585,110340,49,390.0,2.3507587066479223
DreamerV3,official_size12m,Alien,1,27934,111736,50,350.0,1.7710401600023187
